news title,news publisher,news writer,news content,news date,news category,news link
“乘风破浪，造沃未来”——苏州联通持续推进校招大学生成才成长，为公司高质量发展贡献新力量,发布人: 徐可,撰稿人: 人力资源部  吴荣昌, 2020年8月24日，苏州联通 “沃卓越星火起航计划”暨“师带徒”项目课题导学答辩活动圆满落幕，经历近1年专业部门的岗位培养学习，19位2019届校招大学生正式出师。王镰等五位学员被评为“优秀学员”、《5GC在行业中应中的优势》等五个课题被评为“优秀项目”、邵逸明等五位导师被授予“优秀导师”，为苏州联通创新技术领域又提供了一批合格优秀的大学生青年人才。 “师带徒”项目课题导学机制是苏州联通面向校招大学生入司后系统培养的一项重要举措，通过导师和项目制的“传、帮、带、研、学”，助推青年人才的快速成才成长。2013-2019年，苏州联通通过校招大学生培养，已有120位优秀年轻人才走上各个专业岗位上。其中，15位获得C、D级人才遴选认证，7位已走上小CEO或主管岗位。公司党委关心青年人才成长 校招大学生的培养工作一直作为苏州联通党委青年人才队伍建设的一号工程来抓。2013年结合校招大学生需求数量的增加，公司党委专题研究首次推出为期一年的“师带徒”项目课堂导学培养机制。2019年集团党组下发97号文《关于加强职工队伍建设的若干意见》，对关注职工职业发展和关怀职工成长成才提出了进一步的具体要求，2020年年初以来，结合《中国联通统筹抓好疫情防控和改革发展推进全面数字化转型的指导意见》，苏州联通党委对校招大学生的培养和青年人才队伍建设再次提出了新的高度要求。党委书记、总经理宋成军先后三次与2017-2019年校招大学生和2020年新入职大学生开展专题座谈交流，指导和关心青年人才职业发展规划和成长。工会主席徐伟斌亲自为近三年入职大学生选送成长书籍，为新校招大学生上入司第一课。目前，苏州联通正积极落实推进“三个一百”人才工程，100名青年人才队伍建设便是其中一项，积极为校招大学生规划好“3-5-7-10”成长成才之路。人力资源部积极推进青年人才培养 人力资源部（党委组织部）积极落实公司党委“党管人才”要求，从校招大学生入司第一天起，便将集中学习、轮岗锻炼和选拔培养使用有机结合起来，持续推进青年人才培养。2020年7月，30名2020届校招大学生正式加入苏州联通，按照规划，校招大学生新员工入司首先是为期近1个月的省市公司集训学习。在此期间，人力资源部为新入司大学生们设计有针对性的团队拓展活动，并组织全程参加2019年校招大学生“师带徒”项目课堂导学答辩观摩学习，增强校招大学生青年人才的团队意识和学习意识。在网络线技术部门开展为期2个月的轮岗学习，是增强校招大学生“网络为本”概念的新举措，面对全面数字化转型和高质量发展大环境，中国联通5G等创新技术知识的学习便成为本届校招大学生的学习之要。轮岗期间，人力资源部协同非轮岗部门组织大学生开展专题学习沙龙，既丰富了新员工们轮岗期间学习内容，也对非轮岗部门文化、工作场景和内容等有了深刻认知。定岗之后，人力资源部将大学生定期座谈交流、“师带徒”项目课题导学机制等有机结合起来，对人才库动态化管理，持续关注青年人才成长。定岗部门认真落实大学生青年人才使用锻炼 经历集中培训、轮岗学习后，新入司校招大学生按照公司2B及创新业务发展需要，分配至相应区县经营单元或市分条线部门岗位工作。定岗部门根据对校招大学生持续培养和使用要求，选择C、D级人才或网格经理等作为其成长导师，并结合专业和岗位工作，确定导学课题，专项培养。在大学生青年人才培养成长中，坚持把“干中学、学中干”和导师“传、帮、带、研、学”相结合。人力资源部全程参与，对入司满1年校招大学生，可直接进入苏州联通青年人才队伍进行培养，加强校招大学生青年人才参加C、D级专业人才遴选。2020年三季度以来，苏州联通陆续推出2B集结办法、市县人才交流办法和“三个一百”人才工程，进一步鼓励校招大学生到一线部门2B领域进行锻炼，促进更快更好的成才成长。 “乘风破浪，造沃未来” 2020年校招大学生现已全部走上部门岗位，2021届校园招聘也已全面启动。苏州联通将秉承“志存高远，干字当头”的奋斗精神，持续加强校招大学生的青年人才培养，抢抓机遇，开足马力，奋勇争先，以数字化转型开启江苏联通高质量发展新三年，为“全省第一，全国领先”苏州联通梦贡献力量。,"周四, 11/12/2020 - 14:51",新闻类别: 评论经验,/node/1486
关注消防 生命至上——吴中区营销中心组织开展消防安全培训宣贯会,发布人: 别广思,撰稿人: 别广思,   11月9日，是中国的全国消防日。吴中区营销中心组织全员开展“关注消防 生命至上”消防安全培训宣贯会，进一步提升员工安全生产意识。   首先，为大家讲述了近期发生的安全事故案例，分析了火灾的起因和人们应对灾难来临的错误处理方法。接着，为各位同事讲解了消防安全知识，以及灭火器、消防水管等消防器材的使用方法，以此加深大家对消防知识的印象。   不侥幸，不懈怠，消防安全无小事。通过本次培训，提高员工遇到突发性火灾事故时的应急处理能力，使全体员工在工作和生活中养成预防火灾的良好习惯，并学会如何使用灭火器材，杜绝隐患，为公司安全生产打下夯实基础。,"周四, 11/12/2020 - 15:02",新闻类别: 会议活动（内部）,/node/1487
一切为了一线--交付中心赴相城营销中心交流工作,发布人: 廖姮,撰稿人: 廖姮," 11月12日下午，交付中心朱凯经理，朱永良副经理携朱晓玲、金鑫主任至相城营销中心交流工作。郭一经理、各网格经理及支撑中心人员参加了座谈。
   首先朱凯经理向大家介绍了交付中心各专业的职责与界面，鉴于营销中心刚刚成立，对政企业务支撑类流程、规范进行了梳理；在随后的需求讨论中，朱永良经理，金鑫主任对各业务单元提出的楼宇建设覆盖、资源预警扩容、楼宇合建代理商装维、街道管线改造及大客户故障处理等问题进行了详细的指导与解答；朱晓玲主任对5G边缘云、云联网对大家做了讲解，包括产品介绍、适用场景、优势及功能。
 交付中心的本次座谈为相城联通政企发展进一步树立了信心，今后将加强前后台的交流及沟通，齐心协力，奋勇争先，决胜四季度，赢战2021！","周四, 11/12/2020 - 17:15",新闻类别: 会议活动（内部）,/node/1489
苏州工业园区营销中心第17届联通小燕选拔实战初赛圆满落幕,发布人: 吴静文,撰稿人: 陆琳,   2020年11月11日下午，以“决胜第四季度 赢战2021”的工作要求为导向，工业园区营销中心开展了第17届联通小燕选拔实战初赛，活动以“5G创新服务 智慧温暖同行”为主题展开。经过前期的笔试和考察，园区的32名一线服务人员脱颖而出入选此次选拔，角逐新一届的联通小燕。     本次小燕实战首次通过钉钉线上直播的形式进行，实战的主题为：智慧、创新、梦想、温暖，小燕们分别展示了5G业务、5G终端、智慧产品，现场评委通过对参赛选手的个人风采展示、内容表达清晰度、宣讲感染力度、时间掌控度、视频画面呈现度等五个方面进行在线评分。同时本届选拔采取了钉钉实时评分的互联网新模式，选拔结果可在选手展示完毕后即刻展示，使得整场比赛结果更及时、赛程更紧凑、流程更高效。    本届小燕选拔以赛代练，以赛促学，在公司数字化转型的方向指引下，互联网化营销的方式技能不断提升，通过本次比赛，小燕们对互联网营销有了更深刻的认识，进一步提升了直播营销能力、服务能力以及学习能力，将“匠心精神 创新服务”传承下去，助力经营发展再上新台阶。,"周五, 11/13/2020 - 08:21",新闻类别: 会议活动（内部）,/node/1491
服务一线 支撑一线——交付中心赴吴中区营销中心交流工作,发布人: 别广思,撰稿人: 鲍甜甜、别广思,   11月13日上午，交付中心朱凯经理，朱永良副经理携5G创新中心刘丹丹主任、接入网建设中心金鑫主任至吴中区营销中心交流工作。沈逸文经理、各网格一线人员及综合支撑中心人员参加了本次会议。   鉴于吴中营销中心刚成立，沈逸文总首先向交付中心同事介绍了吴中区四个网格的基本情况；随后，朱凯经理向大家介绍了交付中心各部门的职责分工与对接人，并就吴中区营销中心一线客户经理、装维人员在日常工作中遇到的问题展开讨论，交付中心同事在现场对大家遇到的问题作了充分解答，尤其对遇到困难装机的例子进行梳理，高效地优化了一线人员遇到的业务问题；会议中，刘丹丹主任对5G边缘云网络架构等内容对大家做了详细地讲解，包括产品适用场景以及优势。   在此感谢交付中心同事的指导，今后吴中区营销中心将加强与交付中心交流沟通，全力推进公司业务，瞄准发展目标，奋勇争先！,"周五, 11/13/2020 - 14:34",新闻类别: 会议活动（内部）,/node/1493
背水攻坚收好官，蓄势待发开好局——政企线召开经营情况通报及项目调度会,发布人: 唐春芳,撰稿人: 唐晓瑜, 2020年已进入最后冲刺阶段，行百里者半九十，越到最后关头，越是要咬紧牙关，唯有迎难而上、一鼓作气，才能闯关夺隘、攻城拔寨。为扎实做好2020年各项工作收官，保障2021年“开好局”，11月13日下午政企客户部组织召开政企线经营情况通报及项目调度会。公司党委委员、副总经理王筱，各区县公司总经理、政企分管副职，政企部、产互办、行销中心经理及相关人员参加本次会议。 会上，政企客户部就10月经营情况进行通报，对签约计划、三号工程、双线争锋、5G攻坚等专项营销活动进行点评总结；产互办就年底ICT项目入收、2021年政府信息化项目、工业互联网拓展方向与各经营单元进行沟通；各经营单元汇报了项目签约、计收欠费、岁末年初储备情况。 公司党委委员、副总经理王筱指出：在项目签约方面，要紧抓政府年底财政预算使用的时间窗口，提升商机匹配率和打标参与度，通过每周生产调度会的形式对百万以上项目进行资源调度，并对今年已签约项目进行系统性分析复盘；在抓政府实事热点方面，要加强对苏沪一体化、文创产业、新城建试点城市、数字政府市域一体化、生态城市建设等项目商机的获取；在计收欠款方面，要按照财务部的要求应收尽收；在岁末年初营销准备上，各单元要加快梳理名单制客户，细化销售场景，优化团队人员匹配，提升打单能力。 会议号召：政企线全体干部员工，坚定信心、鼓足干劲，以时不我待、只争朝夕的奋斗姿态，掀起大干热潮，攻坚克难，奋勇争先，确保2020年完美收官，2021年开门红。,"周五, 11/13/2020 - 17:15",新闻类别: 会议活动（内部）,/node/1495
吴江联通开展断卡行动及内部管理提升警示教育,发布人: 李乃娟,撰稿人: 李乃娟, 为进一步学习贯彻落实“断卡”行动工作要求，增强员工的警示意识，筑牢实名制底线，规避有责风险，11月13日下午，吴江分公司组织开展断卡行动及内部管理提升警示教育，公司领导、部门经理、网格经理及一线员工等50余人参加了此次会议。 首先，吴建平通报了本地提前激活iphone手机违规行为，阐述了内部管理执行不到位的严重性，警示各条线加强手机管控，提升员工培训教育，发现疑似违规情况立即整改，有效遏止营业风险；并通过断卡行动两起典型涉案案件深刻强调了严守实名制底线的重要性，从源头抓起的必要性，并要求加强开户和渠道管理，加大营业厅检查力度，狠抓实名制管理，帮助大家进一步明晰认知，提高警惕，给全体员工上了一堂意义深远的断卡行动警示教育。 最后，夏总表示此次会议是对所有员工“断卡行动”和内部管理的再提升再培训，各条线应认真梳理内部业务流程，排查入网隐患，加强制度建设，加大管控力度，将执行规范铭记于心，确保用户发展真实、准确、可溯源。,"周五, 11/13/2020 - 17:55",新闻类别: 会议活动（内部）,/node/1496
5G创新服务 智慧温暖同行-苏州联通第十七届小燕选拔实战初赛圆满完成,发布人: 徐可,撰稿人: 杭婷,"    苏州联通第十七届小燕选拔实战初赛于2020年11月11日正式开启，本次赛事以“5G创新服务 智慧温暖同行”为主题，以“现在我主播”的直播形式，在苏州全区十大赛场开展，共有259位候选选手参与进行了新一届小燕的角逐。
    本次小燕选拔首次采用了互联网直播的形式，打破了传统的集中评选模式，选手们只需在工作岗位上参与实战，既节省了时间，又能在自己熟悉的场景里用更自信更灵活的方式展现自己的业务功底，而评委们则在评选现场对参赛选手的个人风采展示、内容表达清晰度、宣讲感染力度、时间掌控度、视频画面呈现度等五个方面进行在线评分，选拔结果可在选手展示完毕后即刻展示，使得整场比赛结果更及时、赛程更紧凑、流程更高效。
   11月13日为期三天的第十七届小燕选拔实战初赛圆满完成，初赛不仅促进全区一线营业服务窗口对互联网营销理念的深刻理解，更是进一步提升了一线的直播营销能力、服务能力以及学习能力，将“匠心精神 创新服务”传播开来，助力经营发展再上新台阶。12月将结合本次初赛的结果，制定角逐金牌小燕的规则和要求，精彩的选拔赛事还将继续，敬请期待小燕们出色的展示。","周五, 11/13/2020 - 18:13",新闻类别: 会议活动（内部）,/node/1497
工业园区营销中心开展“断卡行动”专题讲座,发布人: 吴静文,撰稿人: 曾诚昊,"    为深入贯彻落实国务院打击治理电信网络新型违法犯罪工作部际联席会议精神，严厉打击整治非法开办贩卖电话卡银行卡违法犯罪。11月13日,工业园区营销中心邀请园区反诈中心刘队到白榆路开展 “断卡行动”专题讲座，对全体员工开展普法教育，此次讲座得到全体员工的高度重视并积极参与。    会上，刘队着重介绍了此次“断卡行动”的背景，从政策规定、法律宣传、真实案例等几个方面阐述了“断卡行动”的严重性及其利害关系。通过例举的案例及相关数据，让全体员工对“断卡行动”的打击对象，打击力度都有了进一步的认识，同时此次活动也普及了相关法律常识，指导员工规避相关风险，要求所有人抵住金钱诱惑，杜绝侥幸心理。    自“断卡行动”开展以来，工业园区营销中心认真落实集团公司及省、市公司的相关工作要求，全面落实实名制七字内涵“真实，准确，可溯源”，要求所有营业窗口按照“五个一”的要求做好宣传措施，规范销售动作，严守实名制红线，从源头上避免新开疑似诈骗用途号卡外流。工业园区营销中心全体员工牢记“断卡行动”相关要求，提高法律意识，坚决打赢这场保卫人名财产权益的攻坚战，坚决配合执法部门营造严厉打击整治“两卡”违法犯罪的浓厚氛围，为高质量发展贡献力量。","周一, 11/16/2020 - 13:39",新闻类别: 会议活动（内部）,/node/1498
昆山分公司成功举办第十七届联通小燕选拔实战初赛,发布人: 陆群芳,撰稿人: 易琼琳," 2020年11月12日，昆山分公司举办了第十七届联通小燕评选实战初赛。经过前期动员、准备、考核、评比等层层筛选，此次共29位选手齐聚昆山分公司综合大楼参与了新一届联通小燕的角逐。 本次选拔活动以直播形式进行,选手们在5G智慧生活馆场景下，以“智慧、创新、梦想、温暖”为主题，紧密围绕5G业务、5G终端、智慧产品，每位选手或热情或稳健地解说推荐，以饱满的热情展现着自己最佳的风采。各位评委通过电视投屏形式收看直播现场选手们的精彩表现，从个人风采展示、内容表达清晰度、宣讲感染力度、时间掌控度、视频画面呈现度对各位选手进行网上评分，打分结果实时同步传输给市分客服。 通过此次小燕选拔，让选手们走进了直播间，亲身体验了目前最有活力的营销方式，深刻实践了客户至上的服务初心，对如何为客户提供更温暖的智慧体验有了更深刻的理解。同时也给昆山分公司小燕服务团队插上了5G变革逐梦新时代的翅膀，为更好地服务于公司发展，决胜四季度、赢战2021提供活力和能力保障。","周一, 11/16/2020 - 14:20",新闻类别: 会议活动（外部）,/node/1499
太仓联通助力开展第七届金秋全民健身运动会羽毛球比赛,发布人: 王晓晨,撰稿人: 王晓晨,    为丰富辖区居民精神文化生活，展现大家勇于拼搏的精神，更加深入的推进全民健身活动，11月14日由太仓市文体广电和旅游局主办、太仓市人民政府娄东街道办事处、太仓市人民政府陆渡街道办事处、太仓联通公司承办的第七届羽毛球比赛圆满结束。    本次活动共有来自娄东街道社区、陆渡街道社区及辖区内企业共60名羽毛球爱好者报名参加男双、女双和混合双打三个大项的比赛。比赛中运动员们在赛场上充分展现出了团结进取、蓬勃向上的精神风貌，你来我往、难解难分，赛出了水平、赛出了风格。为确保疫情期间比赛的顺利进行，参赛人员进场均由联通扫码枪进行苏康码检验。    此次活动的圆满开展得到了娄东街道、陆渡街道办事处的肯定与赞扬。太仓联通也会以此为契机，进一步促进太仓联通与广大集团客户之间的沟通交流，切实走进这些企业，将以5G、VR、AI等通信信息新技术为重点合作领域，彼此加深了解、增进互信、深化合作、全面推进信息化项目合作。,"周一, 11/16/2020 - 15:12",新闻类别: 会议活动（外部）,/node/1500
创新求变，扬帆起航 ——工业园区营销中心组织开展2020年团队拓展培训,发布人: 吴静文,撰稿人: 吴静文,    为进一步提升员工销售技能，增强疫情应对能力，工业园区营销中心于11月13日-14日组织员工开展《大疫情下互联网销售模式转型》课程培训及户外拓展培训活动。    培训课程为期两天，主要分为现场教学引导课程培训和户外拓展培训两个部分，课程培训围绕新冠疫情下业务创新之营销理念转变、业务创新之新营销思维、业务创新开展服务营销等理论知识展开；户外拓展培训是组织参训人员前往苏州大阳山拓展基地进行户外拓展培训。本次课程培训旨在通过授课方式引导大家在新冠疫情下充分利用互联网发展业务，及时转变销售思想、创新销售模式，进一步提高员工的互联网转型业务创新力、业务水平和业务素质。户外拓展培训通过组织大家参加团体活动，进一步加深各部门、网格之间的沟通，激发及鼓舞员工的奋斗精神，提升团队的凝聚力、执行力、战斗力，增强团队凝聚力、荣誉感、使命感和拼搏精神。此次拓展培训有效调动了员工的工作热情和积极性，增进了员工之间团结协作的意识，加强了团队创新的精神，为即将开展的“岁末年初”促销活动做好充分的准备。工业园区营销中心全体员工将继续秉承“志存高远，干字当头”的工作作风，团结一致，众志成城，冲刺四季度，为赢战2021年做好准备，为公司高质量发展数字化转型贡献园区力量。,"周一, 11/16/2020 - 16:22",新闻类别: 会议活动（内部）,/node/1501
昆山分公司召开11月第三周例会,发布人: 陆群芳,撰稿人: 夏娟, 11月16日，在市分公司周例会后，昆山分公司召开本地周例会，领导班子、部门、网格经理参加会议。 会上各网格、部门汇报了上周工作完成情况、本周重点工作及需要协调解决的事项。会上各分管领导开展点评并提出具体工作要求：周菊华总监通报了政企线收入完成情况，要求各网格做好年底项目的入收盘点，盯紧项目签约进度；要持续关注名单制客户，网格经理要提升支撑力度，把握楼宇、产业园等双线商机的拓展；目前名单制拜访情况有所改善，但还需关注拜访质量。王俊健副总指出公众线要继续重视“断卡”行动，做好2I、中间渠道、合作厅等的排查；要做好岁末年初场景和发展模式的准备；加快渠道建设和人员招聘进度，争取早投入早产出；业务上要关注吸金行动、2G迁转等工作推进节奏。 最后，杨波总经理要求各部门和网格要关注超时流程，精简流程，提高审批效率和审批质量；政企线要提高商机的匹配率，聚焦重点行业和企业的项目跟进；各条线要提前做好岁末年初活动的充分准备工作，落实场景储备及定点促销的准备；各部门要组织好员工参与苏州联通第二届职工运动会与岁末年初营销活动启动大会，齐心协力勇夺佳绩！,"周二, 11/17/2020 - 08:37",新闻类别: 周例会,/node/1502
吴江分公司召开11月第三周周例会,发布人: 李乃娟,撰稿人: 李乃娟, 11月16日晚，吴江分公司召开11月第三周周例会，各部门对上周的工作情况进行汇报总结， 各分管领导对下阶段工作进行部署： 公众关注11月KPI各项指标的完成率和重点指标完成情况，提升吸金行动、5G登网、大流量APP、存量提价值等工作的完成率，加快触点与场景摸排和准备，为岁末年初活动打好基础；政企根据本月发展短板提升双线发展，提高商机摸排量，加快大项目签约，围绕各项指标加快推进岁末年初工作；网络中心围绕四号工程加快5G建设和4G攻坚，提高5G登网率，提升固网满意度。 最后，徐瑾总经理强调持续围绕”断网“行动做好反诈反骚扰工作；各部门需加强端网业协同，做好5G登网工作；政企需紧盯政府类项目，有针对性地进行跟进，为2021年ICT和云大物等项目做好规划，及围绕岁末年初加强封闭场景用户政策研究，做好营销战役部署。年末将至，吴江分公司全体员工将提振信心，鼓舞士气，百尺竿头、更进一步，为圆满收官2020年全力以赴！ ,"周二, 11/17/2020 - 08:47",新闻类别: 周例会,/node/1503
张家港分公司召开11月第三周周例会,发布人: 陈莹,撰稿人: 陈莹, 11月16日晚，张家港分公司召开11月第三周周例会，各部门、网格（中心）对上周的工作情况进行汇报总结，公司领导班子、部门经理、网格经理参加了会议。 综合网格汇报了聚焦吸金计划、金融业务、融合动作等，提升存量价值；持续关注客户粘性和稳定性，推进提升宽固业务；政企网格汇报了要加快项目签约与计收工作，做好应收账款回款工作；突出重点，加大拜访提升商机规模，安排专人专项加快推进；网络中心汇报了抓好时机，密切跟踪，做好与电信的共建共享；按既定计划措施，加快投诉解决率，提升客户满意度。 最后，公司领导对各部门、网格的工作进行了点评，根据市分月度总结会议和周例会通报内容要求，结合张家港公司实际和短板进行再强调。各部门要驰而不息抓好“断卡”行动工作部署，牢记底线意识；年末收口之际，盘点重点工作做好闭环；加快储备销售场景，同时为2020收官和2021开局做储备；强化认知，梳理创新业务，延展信息化收入，加压跟进百万以上项目；重点关注政府热点项目，与先进地市公司学习对接，学会借力为我所用，打造新的增收引爆点。 ,"周二, 11/17/2020 - 08:48",新闻类别: 周例会,/node/1504
相城营销中心召开11月第三周周例会,发布人: 廖姮,撰稿人: 廖姮,   11月16日相城营销中心召开周例会，会议听取各条线上周工作情况，明确下阶段工作重点。相城营销中心相关人员参加了此次会议。   会上各条线负责人先就上周的工作内容，需要协调事项逐一汇报，主要针对2G迁转完成情况，断卡行动网点清退进度，政府信息化项目收集及布局等工作进行总结，制定计划，合理安排，为下一步工作能更有效更高效的完成集思广益。    最后，郭一经理在听取各条线汇报后指出下阶段工作要做到几点：一、各政企条线负责人要对政府相关信息高度关注，抓住苏州“文创产业”建设机遇，深挖项目商机。二、继续跟进断卡行动各项工作，严格执行实名制各项要求，做到“真实、准确、可溯源”。按照公司规定高效完成手厅登陆，2G迁转等工作。三、重点局办、重点行业、乡镇街道，全量责任至行业经理，本季度要完成拜访，根据相城目前发展需要，紧盯短平快项目。四、本周将要迎来苏州联通第二届职工运动会，参加人员要赛出相城精神，展现相城面貌。   相城营销中心将继续保持高昂的热情，统一思想、统一行动，比学赶超、争先进位，为更好的完成四季度目标笃定前行！,"周二, 11/17/2020 - 08:59",新闻类别: 周例会,/node/1505
高新区营销中心召开11月第3周周例会,发布人: 马艳,撰稿人: 曹敏, 11月16日晚，市分周例会后，高新区营销中心随即召开本地周会，迅速传达市分会议精神。领导班子、部门、网格、片区经理参会。 各网格、部门汇报了本周重点工作。班子领导结合市分周会要求做了再布置：断卡行动持久攻坚，用户发展务必保证真实、准确、可溯源。公众： 2G精简工作坚定信心，克服困难，努力完成目标；广联业务继续推进广电站的拜访和联合促销，坚持不懈，努力摆脱落后局面；各片区积极储备高质量营销场景，做好渠道、产品、资源的适配，为岁末年初营销工作的快速展开做好充分准备。政企：围绕岁末年初，5G发展、双线、签约三个重点大项。商企重点在名单制客户梳理，行业重点在签约商机摸排。校园：学校手机卡入网，ICT项目跟踪。网络：持续推进2G退网，VLOTE迁转，小区改造，加快清洁屋项目建设。 钟珂烨总经理强调，安全生产无小事，做好日常管理，做好疫情防护，提升安全意识。周末运动会，也是岁末启动会，做好训练，迎接检阅。岁末年初请各位提早准备，摸排触点，匹配能力。 团结，拼搏，务实，争先。高新区营销中心将发挥团队协作精神，全体员工同心协力，决胜四季度，赢战2021！,"周二, 11/17/2020 - 09:18",新闻类别: 周例会,/node/1506
苏州市分公司召开“决胜四季度 赢战2021”11月第三周通报会,发布人: 张琦,撰稿人: 陶情,    11月16日，苏州市分公司召开11月第三周通报会，总结得失，明确方向。会议由戴永康副总经理主持，公司领导班子、各部门负责人、网格经理等参会。    会上，业务部门对目前的业务进展情况进行了通报和点评，支撑服务部门对目前的支撑服务工作进行通报。吴江和园区分公司分别就吸金计划进行了经验分享和措施提升的发言，渠道营销中心生产交付组就诈骗问题进行了整改发言。    随后，王筱副总经理就岁末年初场景、通服业务、ICT、IDC等的应收账款以及政企代理商清退引起的联系不上人需进行重点检查处理等工作进行了部署。    戴永康副总经理就安全生产、安全隐患排查、公司规章制定遵守等方面让大家吸取此次火灾的教训，对NPS四季度突击、5G二期工程建设等重点工作进行了部署。    吴延泉组长就一号到五号工程进行了上阶段工作的点评，通报了五大工程的奖项核查结果，廉洁风险培训和部门廉控工作进行了强调以及督促大家尽快完成关键敏感岗位的责任书签订。    蒋文虎副总经理就四季度收官重点工作、岁末年初2000家场景、携转压力以及本周督查督办进行相关要求和部署。    徐伟斌副总经理就岁末年初启动会暨职工运动会比赛场地调整以及当天情况做了通知并督促政企线和公众线尽快完成岁末年初网格画像方案。    统一思想，统一行动，比学赶超，争先进位，苏州分公司将以各项措施落实会议要求，开足马力，奋勇争先，决胜四季度，赢战2021。,"周二, 11/17/2020 - 09:41",新闻类别: 周例会,/node/1508
工业园区营销中心召开11月第三周周例会,发布人: 吴静文,撰稿人: 曾诚昊,    11.16日晚，工业园区营销中心召开“决战四季度，迎战2021”11月第3周周例会再布置落实会议：会议对11月第2周相关工作进行点评和要求，并做下阶段工作的明确部署。    公众线强调2G网络精简工作，明确以关促转动作执行到位，加强责任用户外呼；进一步加强5G攻坚计划，加大终端搭售，提升销售规模。政企线通报应收账款攻坚进度，强调大项目签约完成情况，并结合断卡行动：逐一梳理了网格岁末年初场景储备情况。要求商企网格围绕名单制客户落实精细化管理：从名单制出发，打好商企市场阵地战。    会议最后，园区公司领导班子强调全员统一思想，明确安全生产相关事项，全力做好岁末年初营销场景储备，公众做好渠道攻坚：5G攻坚，强化渠道登网，吸粉，手厅标准动作执行。政企加快应收账款攻坚，大项目签约，抢抓政府年末预算：做好2021年商机储备。最后强调全条线应坚持高目标牵引和高质量发展，思想统一：行动统一：全力做好岁末年初场景储备，为公司高质量发展数字转型贡献园区力量。,"周二, 11/17/2020 - 09:51",新闻类别: 周例会,/node/1509
常熟分公司召开11月第三周周例会,发布人: 冯丹妍,撰稿人: 王冬维,11月16日，市分周例会后，常熟分公司召开11月第三周周例会，对11月第三周工作进行盘点，并聚焦岁末年初如何打好“收官”“开局”战，明确目标进行工作部署。会议强调：“收官”“开局”需紧抓两项工作，一是做足岁末年初准备，聚焦5G发展、聚焦场景，线下紧抓宽固融合、线上紧抓大流量APP，公众重点聚焦触点能力提升，政企聚焦整转、行业穿透及场景，实现高质量发展；二是推进2021快速发展的主要引擎--签约工程，需强化项目转化能力、联动作战能力，形成纵深突破、深度引领。会上再次强调安全生产无小事，廉洁风险防控工作不能松懈。 岁末年初即将来临，常熟分公司将提前准备，总结2020、谋划2021，确保圆满收好官、顺利开好局！,"周二, 11/17/2020 - 09:53",新闻类别: 周例会,/node/1510
太仓分公司召开11月第三周周例会,发布人: 王晓晨,撰稿人: 王晓晨,    11月16日太仓分公司在四楼会议室召开11月第三周周例会，会议听取各部门当前工作的情况汇报，并对下一阶段工作进行部署。会议要求：一、政企：1、关注大项目签约进度，完成四季度签约计划同时，需要提前抓取各部委办局的信息化项目商机及时跟进为明年一季度签约奠定基础。2、政企大额欠费持续跟踪，紧盯回款周期，围绕公司要求不能放松，至12月底严守底线。3、商企改变打法，聚焦重点，围绕德企BU、浙商企业专项攻坚重点突破。二、综合网格：1、加快吸金活动进度，指标到人，目标再细化，保底完成剩余库存礼品的吸金任务。2、针对连日来大批量的携出，再次细化2G精简动作，做好2G用户语音流量包的赠送以及到厅苹果用户的系统升级建议和VOILE功能的开通。三、网络中心：1、各条线注重安全生产，强化安全隐患闭环处理，各部门注重规章制度落实。2、抢抓时间做好NPS提升工作。3、加快5G二期工程建设，按要求完成太仓区域5G二期建设任务。最后，太仓分公司领导班子要求大家主动担当，做到：1、紧钉太仓公司年度目标，精耕细作，确保完成各项目标任务。2、做好岁末年初的促销准备工作，为来年签约计划做好储备。3、针对双线、楼宇、携号转网等短板，解放思想，脚踏实地推动基础业务收入达标。4、组织员工积极参加市分公司第二届职工运动会，奋勇争先。,"周二, 11/17/2020 - 10:03",新闻类别: 周例会,/node/1511
常熟联通分工会开展“勇攀颠峰，追求卓越”苏州天池山登山活动,发布人: 冯丹妍,撰稿人: 冯丹妍,"为增强公司员工团队意识、协作意识、大局意识，提高员工身体素质，增强体质，常熟联通分工会于11月14日开展了“勇攀颠峰，追求卓越”苏州天池山登山活动。早上8时，常熟分公司周总、张总带队一行60余人于公司集合乘车前往苏州天池山。姑苏名山无多少，唯有天池形势好。四面山光施彩色，松柏常被白云绕。天池山以山林、石景、泉水而著称，山明水秀，环境清幽。大家精神抖擞、互相鼓励，相互帮助，一路上欢声笑语，朝着山顶前进，在徐徐秋风中尽情享受自然风光。登山结束，大家用餐适时休息后返回常熟。 通过本次活动,增强了员工间的相互交流，拉近了彼此的距离。常熟联通将始终发扬吃苦耐劳的登山精神，志存高远，攻坚克难，勇攀巅峰，追求卓越，为公司高质量发展贡献力量。 ","周二, 11/17/2020 - 11:26",新闻类别: 会议活动（内部）,/node/1512
